Speaker,Topic,Date,Words
Lexine,jkkpAdnJr,2015-10-22,5839
Melina,"eIkJzj ",2020-12-11,6124
Fanchon,JAIrUuuDvsMXO SOI,2013-09-08,7808
Heddie,cwDAKQGqcfgpKDbP,2021-03-16,4501
Antonietta,Internal Security,2014-01-02,2252
Estell,DwhyaavjdjiGdfTZPNV,2013-08-17,679
Marleah,MiTcbsiyIBUhIzArURk,2009-08-22,4977
Kalina,Internal Security,2000-12-31,4801
Henriette,saFSjfmlwDKNdyP,2019-01-22,511
Bertine,iLNlgmpEsGaKXJH,2014-09-26,7579
Johna,lXMH DmZHBCWX,2008-03-30,5800
Pearline,gZSMWabQkIqABUYXd,2010-09-13,8182
Shaylyn,YxMjZAbe,2016-08-18,1328
Dianemarie,ioPEnBLdAPIkbA C,2015-08-09,8774
Atlanta,GlNNRINY,2002-04-14,1305
Leontine,vlnqGRmWoTitWtVf,2002-06-13,9116
Annabela,JWwEjv,2021-03-22,4194
Alameda,VGgJALtvuzcSp,2010-04-24,3640
Phylis,sUkQHWDnlM,2001-05-17,7060
Evaleen,qXDnHhcpXSACIZqZWy,2003-10-19,1573
Stacey,MMDVXKIMYPmIpoSW,2010-06-03,6157
Queenie,KCRkH HDz,2014-10-22,1445
Jasmina,iHbLRxPcMfkec,2000-09-03,3417
Claresta,XCMeZj,2007-12-23,6206
Bernie,YsAkSH,2014-11-30,2302
Beth,JimDcllOR,2001-03-05,1661
Darlleen,NEepmaICeVK,2007-09-21,2775
Petronia,BBHnG,2003-02-06,1374
Janenna,ATcudPsXHvctjrjXy,2010-03-28,8167
Ernesta,SDMLYTwfdkmUQGsix,2010-09-12,6317
Neila,QLSAd,2003-01-23,4838
Louella,yQhtk kxnqMolMD,2018-11-16,4004
Alyda,KgaKi,2012-02-13,1308
Aryn,mBDPIiTrlEUP,2003-03-27,5711
Miquela,"Malto MzaXEXUD ",2003-05-25,1518
Carilyn,h tB z,2005-08-10,5132
Cissiee,mHXCMQGsumDTTkVhHGs,2000-10-23,1994
Mureil,VCiwyVTxpdIiu,2000-10-08,4017
Marcy,C OZdIeBqzqvsT,2004-04-05,8590
Anestassia,iSseJXbQXXevu,2008-05-24,9218
Alyda,oEQAVWVUWWgldaf,2015-07-14,7626
Ernesta,"oBDgASXYkhDSRlgfwV ",2001-02-04,4909
Lisette,"zQyXSIIRQCdGqLBR ",2019-05-02,8626
Nonnah,NBOluwgMKYwQMVHZt,2016-02-18,9139
Jemie,nWGalQQkGGoG,2016-06-28,5171
Marika,ZnUQwQmWpIgn juQEwm,2020-03-11,8049
Carlie,tKbFjQRzLfoaWh,2010-10-10,5704
Antonietta,Internal Security,2006-10-31,7738
Constance,ihkURIgWxXGdBiJ,2013-02-24,2473
Demetris,nmYbGsLDKsORWPYThwfq,2009-01-26,9155
